CompanyID,Lifetime_Park Place,Lifetime_Boardwalk,Lifetime_StJamesPlace,Lifetime_Marvin Gardens,Lifetime_Ventnor,Lifetime_Kentucky,Lifetime_Tennessee,Lifetime_Pennslyvania,Last_Month_Park Place,Last_Month_Boardwalk,Last_Month_StJamesPlace,Last_Month_Marvin Gardens,Last_Month_Ventnor,Last_Month_Kentucky,Last_Month_Tennessee,Last_Month_Pennslyvania
447046875,,,,,,,2.98905746,,,,,,,,0.452983819,
15567237,0.339889629,,,,,,0.520908652,,0.123943453,,,,,,0.045783166,
440804842,,,,0.035460555,,,,,,,,-0.09630444,,,,
352817298,2.075032983,0.370976886,,,,,,,-0.224215272,-0.008310114,,,,,,
26988006,,,,-0.019622459,,,,,,,,-0.127702767,,,,
16061373,,,-0.039416651,,,,,,,,-0.130902703,,,,,
24483219,,,-0.060595238,,,,,,,,-0.194734739,,,,,
356048467,,,0.00394507,,,,,,,,-0.150828482,,,,,
36291411,,-0.037880981,,,,,,,,-0.134590493,,,,,,
13534186,0.487634578,0.102257084,,0.007831405,0.009204474,-0.004376233,,,0.32137734,0.033622751,,-0.085429549,-0.031517685,-0.102470581,,
54349714,,,0.091810488,,,,,,,,-0.043627376,,,,,
102056039,,,0.34943861,,,,,,,,0.110334399,,,,,
60558040,,,0.064455373,,,,,,,,-0.074078045,,,,,
12763715,,,,0.364714466,,,,,,,,-0.015600853,,,,
32605765,,,0.334611949,,,,,,,,0.107069713,,,,,
94978938,,0.314751113,,,,,,,,-0.019879337,,,,,,
355029860,,,,-0.013858181,,,,,,,,-0.133543076,,,,
62570976,,,-0.0335107,,,,,,,,-0.127480473,,,,,
3392040,,,,,,,0.377695853,,,,,,,,0.054207255,
19533039,,-0.029189983,,,,,,,,-0.129438747,,,,,,
147440067,,,-0.072797913,,,,,,,,-0.146501959,,,,,
23202721,,,,-0.054537773,,,,,,,,-0.142292301,,,,
27577209,,,0.026446172,,,,,,,,-0.09604455,,,,,
51825759,,,,,,,-0.050803008,,,,,,,,-0.144385145,
39698486,,,,0.068993414,,,,,,,,-0.111658029,,,,
62983718,,,,-0.075410742,,,,,,,,-0.079271763,,,,
25217697,,,0.12474915,,,,,,,,-0.044537139,,,,,
18383264,0.040338291,,,,,,,,-0.09364875,,,,,,,
9355321,3.663695915,2.63636003,,,,,,,1.099397556,0.763707175,,,,,,
353633016,,0.413643169,-0.044211871,,,,,,,-0.011349223,-0.109005422,,,,,
345103690,,,,0.117248865,,,,,,,,-0.069760871,,,,
37491293,,,1.26269451,,,,,,,,0.302927353,,,,,
343741499,,,-0.018443772,,,,,,,,-0.11347129,,,,,
118718550,0.094373716,0.092537915,-0.054523834,,0.069409226,-0.04622226,,,-0.078926635,-0.086136414,-0.120831253,,-0.015193165,-0.131698983,,
76170856,0.136179236,-0.055403377,-0.055577481,,,,-0.032939007,,-0.013775458,-0.120592548,-0.12442923,,,,-0.127786512,
351173455,,,,0.088423616,,0.051318836,,,,,,-0.084500988,,-0.100285339,,
348475378,,0.001820647,0.072074154,0.091045338,-0.06606013,-0.001179485,0.846323276,,,-0.00512082,0.05623724,0.058243553,-0.079897766,0.026217334,0.378634353,
116244586,,,-0.039635406,,,,,,,,-0.129867421,,,,,
41732466,,,,0.245765538,,,,,,,,-0.051008425,,,,
92095275,,,-0.057189554,,,,,,,,-0.142147288,,,,,
347788851,,,,-0.072253228,,,,,,,,-0.075898467,,,,
394588923,,,,0.392046463,,,,,,,,0.68172244,,,,
25349406,,,,,,,-0.009120012,,,,,,,,-0.126686979,
68420924,,,,,,,0.234242489,,,,,,,,-0.009682069,
371935086,,-0.050422677,0.006564062,0.01245278,,-0.026417824,-0.044274953,,,-0.120591554,-0.117071952,-0.112872737,,-0.124408641,-0.127531198,
357395597,,-0.069117913,-0.06544224,-0.066913505,-0.072018963,,-0.073051938,,,,-0.144114912,-0.153066339,-0.070514282,,-0.153066339,
49057090,,,,,,,-0.004384945,,,,,,,,-0.126815481,
39881452,,,0.372218243,,,,,,,,-0.001924861,,,,,
158711821,,,0.033430043,,,,,,,,-0.11646594,,,,,
84051036,,,,,,,-0.072070893,,,,,,,,-0.071707806,
353406915,,,,1.426482243,,,,,,,,0.807665748,,,,
124076072,,,0.027347798,,,,,,,,-0.090006017,,,,,
18434936,,5.50100199,,,,,0.00410466,,,1.749582829,,,,,-0.165683775,
178422500,,,,,,,-0.028366195,,,,,,,,-0.136215276,
75532567,,,-0.041494454,,,,,,,,-0.130491833,,,,,
353618990,,,,,,,0.36150213,,,,,,,,0.083959713,
346379643,,,0.040373885,,,,,,,,-0.0987997,,,,,
345067056,,,,-0.030236053,,,,,,,,-0.134613965,,,,
56495174,-0.057726138,-0.000286323,-0.013612232,0.010018971,-0.071369837,-0.037040246,0.16031803,,-0.124615519,-0.14474549,-0.057611396,-0.150828482,-0.150828482,-0.106572524,-0.136658969,
353615041,-0.042100711,-0.004591959,-0.000926768,0.016423593,,0.025983778,,,-0.109621082,-0.149585229,-0.129535522,-0.132543003,,-0.120433312,,
51677358,,,,,,,-0.07268741,,,,,,,,-0.146482067,
137150662,,,,,,,-0.038859503,,,,,,,,-0.135771186,
12289902,0.036502271,,,,,,0.040193809,,-0.098384155,,,,,,-0.098384155,
71960561,,,1.56014086,,,,,,,,0.129902419,,,,,
480774295,,,0.698289505,,,,,,,,-0.153067036,,,,,
50761430,0.144829945,,,,-0.029743064,,0.099882164,,-0.062314874,,,,-0.092747043,,-0.100633351,
39307481,,,,,,,0.017754543,,,,,,,,-0.143833538,
27755030,,0.220107713,,,,,,,,0.107203985,,,,,,
123339544,,,,,,,-0.023883937,,,,,,,,-0.131573265,
358638504,,,0.068264723,,,,,,,,-0.091725685,,,,,
80200427,,,,,,,0.68779371,,,,,,,,0.182887114,
57134512,,,,0.449611693,,,,,,,,0.118674345,,,,
368572921,,1.237784521,11.97484235,0.886495879,-0.04387439,0.41601767,1.741345446,,,0.277299316,2.195791417,9.066017777,-0.143145174,-0.132884052,1.063733078,
52598232,,,0.501259743,,,,,,,,0.21553685,,,,,
14435162,,,,,,0.154284747,,,,,,,,0.068638648,,
26169314,,,0.132473319,,,,,,,,-0.028646067,,,,,
562821789,,,,,,,0.83407897,,,,,,,,0.102178952,
346556803,,0.050046286,,,,,,,,-0.073112683,,,,,,
115523808,,,,-0.043869457,,,,,,,,-0.131405873,,,,
31410925,,,,,,,-0.036195583,,,,,,,,-0.138221689,
150766024,,,,,,,-0.011779279,,,,,,,,-0.123039371,
65783291,,,0.098980619,,,,,,,,-0.287593768,,,,,
363056213,,,,-0.026528028,,,,,,,,-0.110778402,,,,
346020666,-0.029101382,0.220656384,,,,,0.758656469,,-0.133126735,-0.054039975,,,,,0.140985977,
348311456,,,,0.009647948,,,,,,,,-0.106020817,,,,
130089420,,,-0.032691573,,,,,,,,-0.127601616,,,,,
348467966,-0.048473102,,,,,,,,-0.13280707,,,,,,,
470677993,,,,,,-0.045557244,,,,,,,,-0.126463591,,
52381340,,,-0.064523728,,,,,,,,-0.149426092,,,,,
73155981,-0.038635243,,,,,,,,-0.110700027,,,,,,,
447130713,,,,,,,0.003605348,,,,,,,,-0.052407533,
127582501,0.261095713,,,,,,0.238179672,,-0.031643701,,,,,,-0.107563248,
345981134,,,,,,,0.037596459,,,,,,,,-0.07609142,
25809605,,,,,,,-0.035509937,,,,,,,,-0.134816069,
506751771,,-0.054185349,,,,,-0.034101625,,,-0.12123904,,,,,-0.177931417,
346746335,,,,,,-0.07561079,,,,,,,,,,
363592558,,,-0.031648952,,,,,,,,-0.126719602,,,,,
346591681,,,-0.022981111,,,,,,,,-0.120926437,,,,,
37966124,,,,-0.023642864,,,,,,,,-0.13062133,,,,
346809098,,,,,,,-0.022970068,,,,,,,,-0.135523928,
216875381,,,,,,,0.00219865,,,,,,,,-0.124354933,
76301059,,,-0.031228605,,,,,,,,-0.12536913,,,,,
27164812,,,,-0.043275338,,,,,,,,-0.135845582,,,,
14556261,0.286927862,,,,,,,,-0.031217315,,,,,,,
398171175,,-0.014393507,,,,,,,,-0.1106866,,,,,,
371675169,,,0.024969221,,,,,,,,-0.091906007,,,,,
37146069,,,-0.044860974,,,,,,,,-0.144016446,,,,,
19663501,,,,0.124174739,,,,,,,,-0.029233977,,,,
43008620,,,,0.139879022,,,,,,,,-0.015091019,,,,
56001074,0.113101928,0.077101544,,,,,0.111414548,,-0.011640443,-0.095522583,,,,,-0.024777161,
112755124,0.185127015,,,,,,0.058711886,,-0.051337241,,,,,,-0.09256334,
358220337,,,0.128431431,,,,,,,,-0.03449503,,,,,
358621663,,,,,,,0.042470452,,,,,,,,-0.087881445,
371647623,,,0.24052652,,,,,,,,0.045359067,,,,,
355658402,,,-0.052473368,,,,,,,,-0.138981168,,,,,
57820617,-0.03089974,,,,-0.058326043,,,,-0.120333255,,,,-0.092652158,,,
352408768,,,,-0.042599166,,,,,,,,-0.129276428,,,,
24133826,,,,,,,-0.030431037,,,,,,,,-0.124542217,
358003084,,,,0.630059226,,,,,,,,1.306255904,,,,
